team,date,AB,RS,H,HR,TB,BB,SF
ANA,20000403,35,2,10,1,14,5,0
ANA,20000404,36,3,10,0,10,6,0
ANA,20000405,33,12,12,1,19,9,2
ANA,20000407,32,7,9,2,17,5,0
ANA,20000408,35,7,13,1,20,1,0
ANA,20000409,33,1,7,1,10,1,0
ANA,20000410,28,6,7,1,12,9,1
ANA,20000411,29,5,8,2,17,3,0
ANA,20000412,34,2,9,0,13,5,0
ANA,20000414,39,4,12,1,20,1,0
ANA,20000415,31,3,7,0,10,5,0
ANA,20000416,37,3,13,0,16,3,1
ANA,20000417,33,1,8,0,12,2,1
ANA,20000418,44,16,19,2,32,10,1
ANA,20000419,36,4,8,1,12,3,0
ANA,20000420,41,11,19,1,26,2,2
ANA,20000421,38,9,12,6,33,7,0
ANA,20000422,41,9,10,0,12,6,1
ANA,20000423,32,0,4,0,5,2,0
ANA,20000424,35,10,14,4,28,3,0
ANA,20000425,35,2,8,1,11,5,0
ANA,20000426,33,6,11,3,21,2,0
ANA,20000427,32,3,6,1,10,6,0
ANA,20000428,34,2,7,1,13,1,0
ANA,20000429,46,7,13,3,23,2,0
ANA,20000430,32,5,9,1,13,3,0
ANA,20000502,35,6,11,2,18,6,0
ANA,20000503,35,6,9,4,22,3,0
ANA,20000504,35,8,11,2,21,4,0
ANA,20000505,38,6,11,1,20,1,0
ANA,20000506,26,0,2,0,2,7,0
ANA,20000507,33,2,7,0,8,5,0
ANA,20000508,39,9,17,2,27,4,1
ANA,20000509,36,2,9,1,14,2,0
ANA,20000510,36,4,9,1,16,3,0
ANA,20000511,32,3,10,2,17,1,0
ANA,20000512,40,11,14,5,31,5,0
ANA,20000513,30,5,7,1,12,6,3
ANA,20000514,32,7,8,5,25,2,0
ANA,20000516,35,3,9,0,11,5,1
ANA,20000517,34,8,11,1,18,8,0
ANA,20000519,35,6,12,4,28,0,0
ANA,20000520,33,9,11,3,21,8,0
ANA,20000521,33,6,7,2,14,4,0
ANA,20000523,38,7,12,2,21,6,0
ANA,20000524,44,6,18,2,26,0,0
ANA,20000525,34,3,9,1,13,2,0
ANA,20000526,33,4,6,2,15,3,0
ANA,20000527,35,5,9,1,13,6,0
ANA,20000528,40,8,13,4,26,4,0
ANA,20000529,34,3,4,1,7,3,0
ANA,20000530,34,1,9,0,11,3,0
ANA,20000531,40,3,14,1,17,4,0
ANA,20000602,40,12,18,2,29,8,0
ANA,20000603,38,3,12,0,14,5,0
ANA,20000604,34,8,9,1,14,9,0
ANA,20000605,45,3,14,0,16,5,0
ANA,20000606,33,6,10,1,13,6,0
ANA,20000607,35,10,13,3,25,2,1
ANA,20000609,31,1,5,1,9,2,0
ANA,20000610,38,10,13,3,25,4,0
ANA,20000611,34,2,8,1,14,1,0
ANA,20000613,38,5,10,2,19,1,0
ANA,20000614,32,2,7,2,13,1,0
ANA,20000615,30,1,6,0,9,2,0
ANA,20000616,34,3,9,0,12,3,0
ANA,20000617,36,8,9,3,18,2,0
ANA,20000618,38,8,14,2,21,2,1
ANA,20000620,30,6,5,2,11,8,0
ANA,20000621,30,3,6,1,11,2,0
ANA,20000622,31,4,10,1,14,0,0
ANA,20000623,36,8,11,4,26,6,1
ANA,20000624,37,5,11,3,23,2,0
ANA,20000625,43,7,10,3,20,3,0
ANA,20000626,42,6,11,1,20,4,0
ANA,20000627,32,3,5,1,8,3,0
