Y,team,GP,W,L
2000,ANA,162,82,80
2000,ARI,162,85,77
2000,ATL,162,95,67
2000,BAL,162,74,88
2000,BOS,162,85,77
2000,CHA,162,95,67
2000,CHN,162,65,97
2000,CIN,163,85,78
2000,CLE,162,90,72
2000,COL,162,82,80
2000,DET,162,79,83
2000,HOU,162,72,90
2000,KCA,162,77,85
2000,LAN,161,85,76
2000,MIA,161,79,82
2000,MIL,163,74,89
2000,MIN,162,69,93
2000,NYA,161,87,74
2000,NYN,162,94,68
2000,OAK,161,91,70
2000,PHI,162,65,97
2000,PIT,162,69,93
2000,SDN,162,76,86
2000,SEA,162,91,71
2000,SFN,161,97,64
2000,SLN,162,95,67
2000,TBA,161,69,92
2000,TEX,162,71,91
2000,TOR,162,83,79
2000,WAS,162,67,95
2001,ANA,162,75,87
2001,ARI,161,91,70
2001,ATL,162,88,74
2001,BAL,162,64,98
2001,BOS,161,82,79
2001,CHA,162,83,79
2001,CHN,162,88,74
2001,CIN,162,66,96
2001,CLE,162,91,71
2001,COL,162,73,89
2001,DET,162,66,96
2001,HOU,162,93,69
2001,KCA,161,64,97
2001,LAN,162,86,76
2001,MIA,162,76,86
2001,MIL,161,68,93
2001,MIN,162,85,77
2001,NYA,161,95,66
2001,NYN,162,82,80
2001,OAK,162,102,60
2001,PHI,162,86,76
2001,PIT,162,62,100
2001,SDN,161,79,82
2001,SEA,162,116,46
2001,SFN,162,90,72
2001,SLN,162,93,69
2001,TBA,162,62,100
2001,TEX,162,73,89
2001,TOR,162,80,82
2001,WAS,162,68,94
2002,ANA,162,99,63
2002,ARI,162,98,64
2002,ATL,161,101,60
2002,BAL,162,67,95
2002,BOS,162,93,69
2002,CHA,162,81,81
2002,CHN,162,67,95
2002,CIN,162,78,84
2002,CLE,162,74,88
2002,COL,162,73,89
2002,DET,161,55,106
2002,HOU,162,84,78
2002,KCA,162,62,100
2002,LAN,162,92,70
2002,MIA,162,79,83
2002,MIL,162,56,106
2002,MIN,161,94,67
2002,NYA,161,103,58
2002,NYN,161,75,86
2002,OAK,162,103,59
2002,PHI,161,80,81
2002,PIT,161,72,89
2002,SDN,162,66,96
2002,SEA,162,93,69
2002,SFN,162,96,66
2002,SLN,162,97,65
2002,TBA,161,55,106
2002,TEX,162,72,90
2002,TOR,162,78,84
2002,WAS,162,83,79
2003,ANA,162,77,85
2003,ARI,162,84,78
2003,ATL,162,101,61
2003,BAL,163,71,92
2003,BOS,162,95,67
2003,CHA,162,86,76
2003,CHN,162,88,74
2003,CIN,162,69,93
2003,CLE,162,68,94
2003,COL,162,74,88
2003,DET,162,43,119
2003,HOU,162,87,75
2003,KCA,162,83,79
2003,LAN,162,85,77
2003,MIA,162,91,71
2003,MIL,162,68,94
2003,MIN,162,90,72
2003,NYA,163,102,61
2003,NYN,161,66,95
2003,OAK,162,96,66
2003,PHI,162,86,76
2003,PIT,162,75,87
2003,SDN,162,64,98
2003,SEA,162,93,69
2003,SFN,161,100,61
2003,SLN,162,85,77
2003,TBA,162,63,99
2003,TEX,162,71,91
2003,TOR,162,86,76
2003,WAS,162,83,79
2004,ANA,162,92,70
2004,ARI,162,51,111
2004,ATL,162,96,66
2004,BAL,162,78,84
2004,BOS,162,98,64
2004,CHA,162,83,79
2004,CHN,162,89,73
2004,CIN,161,75,86
2004,CLE,161,80,81
2004,COL,162,68,94
2004,DET,162,72,90
2004,HOU,161,92,69
2004,KCA,162,58,104
2004,LAN,162,93,69
2004,MIA,162,83,79
2004,MIL,161,67,94
2004,MIN,161,91,70
2004,NYA,162,101,61
2004,NYN,162,71,91
2004,OAK,162,91,71
2004,PHI,162,86,76
2004,PIT,161,72,89
2004,SDN,162,87,75
2004,SEA,162,63,99
2004,SFN,162,91,71
2004,SLN,162,105,57
2004,TBA,161,70,91
2004,TEX,162,89,73
2004,TOR,161,67,94
2004,WAS,162,67,95
2005,ANA,162,95,67
2005,ARI,162,77,85
2005,ATL,162,90,72
2005,BAL,162,74,88
2005,BOS,162,95,67
2005,CHA,162,99,63
2005,CHN,162,79,83
2005,CIN,163,73,90
2005,CLE,162,93,69
2005,COL,162,67,95
2005,DET,162,71,91
2005,HOU,163,90,73
2005,KCA,162,56,106
2005,LAN,162,71,91
2005,MIA,162,83,79
2005,MIL,162,81,81
2005,MIN,162,83,79
2005,NYA,162,95,67
2005,NYN,162,83,79
2005,OAK,162,88,74
2005,PHI,162,88,74
2005,PIT,162,67,95
2005,SDN,162,82,80
2005,SEA,162,69,93
2005,SFN,162,75,87
2005,SLN,162,100,62
2005,TBA,162,67,95
2005,TEX,162,79,83
2005,TOR,162,80,82
2005,WAS,162,81,81
2006,ANA,162,89,73
2006,ARI,162,76,86
2006,ATL,162,79,83
2006,BAL,162,70,92
2006,BOS,162,86,76
2006,CHA,162,90,72
2006,CHN,162,66,96
2006,CIN,162,80,82
2006,CLE,162,78,84
2006,COL,162,76,86
2006,DET,162,95,67
2006,HOU,162,82,80
2006,KCA,162,62,100
2006,LAN,162,88,74
2006,MIA,162,78,84
2006,MIL,162,75,87
2006,MIN,162,96,66
2006,NYA,162,97,65
2006,NYN,162,97,65
2006,OAK,162,93,69
2006,PHI,162,85,77
2006,PIT,162,67,95
2006,SDN,162,88,74
2006,SEA,162,78,84
2006,SFN,161,76,85
2006,SLN,161,83,78
2006,TBA,162,61,101
2006,TEX,162,80,82
2006,TOR,162,87,75
2006,WAS,162,71,91
2007,ANA,162,94,68
2007,ARI,162,90,72
2007,ATL,162,84,78
2007,BAL,161,69,92
2007,BOS,162,96,66
2007,CHA,162,72,90
2007,CHN,161,84,77
2007,CIN,162,72,90
2007,CLE,162,96,66
2007,COL,163,90,73
2007,DET,162,88,74
2007,HOU,162,73,89
2007,KCA,162,69,93
2007,LAN,162,82,80
2007,MIA,161,71,90
2007,MIL,161,82,79
2007,MIN,162,79,83
2007,NYA,161,93,68
2007,NYN,162,88,74
2007,OAK,162,76,86
2007,PHI,162,89,73
2007,PIT,161,68,93
2007,SDN,163,89,74
2007,SEA,162,88,74
2007,SFN,162,71,91
2007,SLN,162,78,84
2007,TBA,162,66,96
2007,TEX,162,75,87
2007,TOR,162,83,79
2007,WAS,162,73,89
2008,ANA,162,100,62
2008,ARI,162,82,80
2008,ATL,162,72,90
2008,BAL,159,67,92
2008,BOS,162,95,67
2008,CHA,162,89,73
2008,CHN,161,97,64
2008,CIN,162,74,88
2008,CLE,162,81,81
2008,COL,162,74,88
2008,DET,162,74,88
2008,HOU,161,86,75
2008,KCA,162,75,87
2008,LAN,162,84,78
2008,MIA,161,84,77
2008,MIL,162,90,72
2008,MIN,163,88,75
2008,NYA,162,89,73
2008,NYN,162,89,73
2008,OAK,161,75,86
2008,PHI,162,92,70
2008,PIT,162,67,95
2008,SDN,162,63,99
2008,SEA,162,61,101
2008,SFN,162,72,90
2008,SLN,162,86,76
2008,TBA,162,97,65
2008,TEX,162,79,83
2008,TOR,161,85,76
2008,WAS,161,59,102
2009,ANA,162,97,65
2009,ARI,162,70,92
2009,ATL,162,86,76
2009,BAL,162,64,98
2009,BOS,162,95,67
2009,CHA,162,79,83
2009,CHN,161,83,78
2009,CIN,162,78,84
2009,CLE,162,65,97
2009,COL,162,92,70
2009,DET,163,86,77
2009,HOU,161,74,87
2009,KCA,162,65,97
2009,LAN,162,95,67
2009,MIA,162,87,75
2009,MIL,162,80,82
2009,MIN,163,87,76
2009,NYA,162,103,59
2009,NYN,162,70,92
2009,OAK,162,75,87
2009,PHI,162,93,69
2009,PIT,161,62,99
2009,SDN,162,75,87
2009,SEA,162,85,77
2009,SFN,162,88,74
2009,SLN,162,91,71
2009,TBA,162,84,78
2009,TEX,162,87,75
2009,TOR,162,75,87
2009,WAS,161,58,103
2010,ANA,162,80,82
2010,ARI,162,65,97
2010,ATL,162,91,71
2010,BAL,162,66,96
2010,BOS,161,89,72
2010,CHA,162,88,74
2010,CHN,162,75,87
2010,CIN,162,91,71
2010,CLE,162,69,93
2010,COL,162,83,79
2010,DET,162,81,81
2010,HOU,162,76,86
2010,KCA,162,67,95
2010,LAN,162,80,82
2010,MIA,162,80,82
2010,MIL,162,77,85
2010,MIN,161,94,67
2010,NYA,161,94,67
2010,NYN,162,79,83
2010,OAK,162,81,81
2010,PHI,162,97,65
2010,PIT,162,57,105
2010,SDN,162,90,72
2010,SEA,162,61,101
2010,SFN,162,92,70
2010,SLN,162,86,76
2010,TBA,161,95,66
2010,TEX,162,90,72
2010,TOR,162,85,77
2010,WAS,162,69,93
2011,ANA,162,86,76
2011,ARI,162,94,68
2011,ATL,162,89,73
2011,BAL,162,69,93
2011,BOS,162,90,72
2011,CHA,162,79,83
2011,CHN,162,71,91
2011,CIN,162,79,83
2011,CLE,162,80,82
2011,COL,162,73,89
