dt,ANA,ARI,ATL,BAL,BOS,CHA,CHN,CIN,CLE,COL,DET,HOU,KCA,LAN,MIA,MIL,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
2000-03-29,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
2000-03-30,1500,1500,1500,1500,1500,1500,1506.6666666666667,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1493.3333333333333,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
2000-04-03,1500,1500,1500,1500,1500,1500,1499.5210750263693,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500.4789249736307,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
2000-04-04,1493.4058687767886,1500,1506.6600066600067,1493.3665008291873,1500,1493.3532735127949,1492.9190022476714,1493.3333333333333,1506.6334991708127,1493.3399933399933,1506.6269052352552,1500,1493.3466400532268,1506.6072018500165,1506.6006600660066,1506.6666666666667,1493.3598937583001,1506.5941312232114,1507.0723596110072,1493.3730947647448,1500,1500,1493.4065653626235,1500,1493.3993399339934,1506.602072778698,1506.6401062416999,1506.6467264872051,1506.6533599467732,1493.3927981499835
2000-04-05,1487.2847734615632,1506.6006600660066,1499.578342608778,1493.3665008291873,1506.6467264872051,1487.2351152927442,1492.9190022476714,1487.199160218662,1506.6334991708127,1500.421657391222,1499.420753085983,1506.6269052352552,1487.2229270886232,1512.7640583533662,1499.5091928454533,1512.800839781338,1500.5382801972555,1512.7152265384368,1507.0723596110072,1500.579246914017,1493.3993399339934,1493.3730947647448,1493.4065653626235,1493.3532735127949,1500.4908071545467,1506.602072778698,1499.4617198027445,1512.7648847072558,1512.7770729113768,1487.2359416466338
2000-04-06,1494.9394168816225,1512.680211665215,1506.1932382583161,1500.5731901979052,1499.460613760872,1494.795075525427,1486.887350298454,1481.527600686683,1499.4268098020948,1493.8067617416839,1492.8274638557784,1512.7639394998005,1494.7912220665821,1505.1360760766274,1492.9501994129291,1518.472399313317,1507.1283178149533,1505.0605831183775,1499.9655830900335,1507.1725361442216,1487.319788334785,1487.2360605001995,1500.5133418835971,1500.539386239128,1507.0498005870709,1512.6337247279153,1492.8716821850467,1505.204924474573,1505.2087779334179,1494.8639239233726
2000-04-07,1494.9394168816225,1518.277207578871,1506.1932382583161,1507.1669687559502,1492.8509421064366,1501.829314723633,1481.2768724075117,1489.6178995463742,1492.8330312440498,1493.8067617416839,1492.8274638557784,1505.1435757623544,1501.8327468375317,1498.1008175396694,1500.133068809167,1510.3821004536258,1499.9712407185582,1505.0605831183775,1493.3594227604717,1507.1725361442216,1481.722792421129,1494.8564242376456,1507.119502213159,1507.1490578935634,1499.866931190833,1518.2442026188576,1500.0287592814418,1498.170685276367,1498.1672531624683,1501.8991824603306
2000-04-08,1501.5086865002793,1510.8884485327887,1499.4002537021893,1513.255492197889,1486.2816724877798,1508.6411510105945,1488.2280896094853,1482.6666823444007,1499.7616961802626,1487.4279861183486,1486.7389404138396,1497.683688974666,1508.3871976145424,1491.2766207969084,1506.5118444325024,1517.172621550852,1493.4167899415474,1498.5248177778508,1500.1836195032326,1500.36069985726,1489.1826792088175,1502.2451832837278,1513.5201818324094,1513.6848232340901,1506.6599157469598,1511.4536815216313,1493.100094345229,1504.838684144265,1491.4992542945704,1495.4985028410802
2000-04-09,1507.5501615882406,1517.0918139427247,1506.2589375498637,1518.8351728530681,1480.2401973998185,1514.9697763703525,1481.3511254358832,1489.5436465180028,1506.1960027656637,1494.712339982047,1481.1592597586605,1503.9712115142902,1514.4228805839668,1498.2283421975299,1499.227490568804,1510.3858908519273,1487.381106972123,1505.6920757787957,1493.2318981026112,1494.032074497502,1482.8951566691933,1496.0418178737918,1506.2082424570146,1506.5175652331452,1499.8012318992853,1518.240412220556,1486.665787759828,1497.6841806516807,1498.6537577871547,1502.810442216475
2000-04-10,1499.9804930927291,1522.8205662946282,1512.5819578777111,1523.9877612040536,1487.80986589533,1507.4961502304548,1475.0178097423266,1495.8769622115594,1512.1633911451422,1488.254331749137,1476.006671407675,1496.585689271239,1506.830126559588,1498.2283421975299,1505.685498801714,1504.1401180667133,1494.9738609965018,1499.0989220493605,1493.2318981026112,1501.5057006373997,1490.2806789122444,1490.3130655218883,1499.4776523569064,1513.1107189625804,1493.478211571438,1524.48618500577,1480.6983993803494,1504.3984218093494,1491.939516629486,1509.5410323165831
