retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
affej001,2003,KCA,7,6,36,18,378,98,0.261,3.93
andeb002,2003,CLE,9,10,25,24,444,72,0.282,3.71
andeb002,2004,KCA,6,12,35,26,498,70,0.32,5.64
appik001,2003,ANA,7,7,19,19,278,50,0.27899999999999997,5.63
batim001,2003,ARI,10,9,36,29,580,142,0.267,3.54
batim001,2004,TOR,10,13,38,31,596,104,0.273,4.8
batim001,2006,ARI,11,8,34,33,619,110,0.28800000000000003,4.58
batim001,2007,SEA,16,11,33,32,579,133,0.276,4.29
batim001,2008,SEA,4,14,44,20,345,73,0.295,6.26
beckj002,2003,MIA,9,8,24,23,426,152,0.24600000000000002,3.04
beckj002,2004,MIA,9,9,26,26,470,152,0.235,3.79
beckj002,2005,MIA,15,8,29,29,536,166,0.23399999999999999,3.38
beckj002,2006,BOS,16,11,33,33,614,158,0.245,5.01
beckj002,2007,BOS,20,7,30,30,602,194,0.245,3.27
beckj002,2008,BOS,12,10,27,27,523,172,0.256,4.03
beckj002,2009,BOS,17,6,32,32,637,199,0.244,3.86
beckj002,2010,BOS,6,6,21,21,383,116,0.292,5.78
beckj002,2011,BOS,13,7,30,30,579,175,0.21100000000000002,2.89
beckj002,2012,BOS,5,11,21,21,382,94,0.266,5.23
beckj002,2014,LAN,6,6,20,20,347,107,0.226,2.88
bellr003,2003,TBA,5,4,19,18,303,44,0.263,5.52
bellr003,2004,TBA,8,8,24,19,369,57,0.253,4.46
benoj001,2003,TEX,8,5,25,17,315,87,0.24600000000000002,5.49
benoj001,2004,TEX,3,5,28,15,309,95,0.27899999999999997,5.68
bensk001,2003,PIT,5,9,18,18,315,68,0.295,4.97
bensk001,2004,PIT,8,8,20,20,397,83,0.272,4.22
bensk001,2005,NYN,10,8,28,28,523,95,0.253,4.13
bensk001,2006,BAL,11,12,30,30,549,88,0.287,4.82
berna001,2003,DET,1,12,18,17,302,54,0.267,6.08
bondj001,2003,DET,6,19,33,28,486,108,0.294,5.56
bondj001,2004,DET,11,13,33,32,552,168,0.242,4.89
bondj001,2005,DET,14,13,29,29,567,145,0.271,4.57
bondj001,2006,DET,14,8,34,34,642,202,0.259,4.08
bondj001,2007,DET,11,9,28,28,523,145,0.278,5.01
bondj001,2010,DET,8,10,30,29,513,112,0.27699999999999997,5.53
browk001,2003,LAN,14,9,32,32,633,185,0.23600000000000002,2.39
browk001,2004,NYA,10,6,22,22,396,83,0.262,4.09
browk001,2005,NYA,4,7,13,13,220,50,0.341,6.5
buehm001,2003,CHA,14,14,35,35,691,119,0.278,4.14
buehm001,2004,CHA,16,10,35,35,736,165,0.271,3.89
buehm001,2005,CHA,16,8,33,33,710,149,0.262,3.12
buehm001,2006,CHA,12,13,32,32,612,98,0.305,4.99
buehm001,2007,CHA,10,9,30,30,603,115,0.26899999999999996,3.63
buehm001,2008,CHA,15,12,34,34,656,140,0.281,3.79
buehm001,2009,CHA,13,10,33,33,640,105,0.275,3.84
buehm001,2010,CHA,13,13,33,33,631,99,0.295,4.28
buehm001,2011,CHA,13,9,31,31,616,109,0.27699999999999997,3.59
buehm001,2012,MIA,13,13,31,31,607,125,0.258,3.74
buehm001,2013,TOR,12,10,33,33,611,139,0.276,4.15
buehm001,2014,TOR,13,10,32,32,606,119,0.287,3.39
buehm001,2015,TOR,15,8,32,32,596,91,0.27899999999999997,3.81
burkj001,2003,BOS,12,9,32,30,545,107,0.281,5.15
chacs001,2003,COL,11,8,23,23,411,93,0.243,4.6
chacs001,2008,HOU,2,3,15,15,257,53,0.27,5.04
clemm001,2003,CHN,14,12,32,32,605,171,0.22699999999999998,4.11
clemm001,2004,CHN,9,13,30,30,543,190,0.22899999999999998,3.68
clemm001,2005,BOS,13,6,32,32,573,146,0.26,4.57
clemr001,2003,NYA,17,9,33,33,635,190,0.247,3.91
clemr001,2004,HOU,18,4,33,33,643,218,0.217,2.98
clemr001,2005,HOU,13,8,32,32,634,185,0.198,1.87
clemr001,2006,HOU,7,6,19,19,340,102,0.21600000000000003,2.3
clemr001,2007,NYA,6,6,18,17,297,68,0.261,4.18
colob001,2003,CHA,15,13,34,34,726,173,0.248,3.87
colob001,2004,ANA,18,12,34,34,625,158,0.265,5.01
colob001,2005,ANA,21,8,33,33,668,157,0.254,3.48
colob001,2007,ANA,6,8,19,18,298,76,0.32,6.34
colob001,2011,NYA,8,10,29,26,493,135,0.267,4.0
colob001,2012,OAK,10,9,24,24,457,91,0.266,3.43
colob001,2013,OAK,18,6,30,30,571,117,0.264,2.65
colob001,2014,NYN,15,13,31,31,607,151,0.273,4.09
colob001,2015,NYN,14,13,33,31,584,136,0.281,4.16
colob001,2016,NYN,15,8,34,33,575,128,0.268,3.43
colob001,2017,ATL,2,8,13,13,189,42,0.33799999999999997,8.14
colob001,2017,MIN,5,6,15,15,240,47,0.302,5.18
colob001,2018,TEX,7,12,28,24,439,81,0.29100000000000004,5.78
cooka002,2003,COL,4,6,43,16,372,43,0.317,6.02
cooka002,2004,COL,6,4,16,16,290,40,0.294,4.28
cooka002,2005,COL,7,2,13,13,250,24,0.301,3.67
cooka002,2006,COL,9,15,32,32,638,92,0.28800000000000003,4.23
cooka002,2007,COL,8,7,25,25,498,61,0.27899999999999997,4.12
cooka002,2008,COL,16,9,32,32,634,96,0.287,3.96
